title,id,genres,keywords
War of the Worlds,74,"['Adventure', 'Thriller', 'Science Fiction']","['post traumatic stress disord', 'new jersey', 'airplan', 'dystopia', 'daughter', 'apocalyps', 'alien invas', 'human subjug']"
Mars Attacks!,75,"['Comedy', 'Fantasy', 'Science Fiction']","['saving the world', 'total destruct', 'the white hous', 'planet mar', 'u.s. presid', 'cataclysm', 'laser gun', 'ambassador', 'flying sauc', 'alien invas']"
Before Sunrise,76,"['Drama', 'Romance']","['sunris', 'talk', 'soulmat', 'walk', 'austria', 'vienna, austria', 'danub', 'romant']"
Memento,77,"['Mystery', 'Thriller']","['tattoo', 'waitress', 'amnesia', 'drug deal', 'motel', 'manipul', 'reveng', 'murder', 'flashback', 'confus', 'memory loss', 'psychological thril', 'whodunit', 'los angeles, california', 'cult film', 'nonlinear timelin', 'individu', 'phone cal', 'neo-noir', 'reverse chronolog']"
Blade Runner,78,"['Science Fiction', 'Drama', 'Thriller']","['artificial intellig', 'flying car', 'bounty hunt', 'android', 'based on novel or book', 'dystopia', 'genet', 'futurist', 'fugit', 'cyberpunk', 'los angeles, california', 'cult film', 'neo-noir']"
Before Sunset,80,"['Drama', 'Romance']","['paris, fr', 'journalist', 'talk', 'soulmat', 'walk', 'bookshop', ""love of one's lif"", 'author']"
Miami Vice,82,"['Action', 'Crime', 'Thriller']","['miami, florida', 'florida', 'drug deal']"
Open Water,83,"['Drama', 'Thriller', 'Horror']","['dive', 'cataclysm', 'nightmar', 'panic', 'scuba div', 'shark', 'scuba']"
Raiders of the Lost Ark,85,"['Adventure', 'Action']","['saving the world', 'riddl', 'himalaya', 'cairo', 'mose', 'egypt', 'whip', 'treasur', 'nazi', 'ark of the coven', 'ten command', 'treasure hunt', 'excav', 'swastika', 'archaeologist', 'archeolog', 'religious histori', '1930']"
Indiana Jones and the Temple of Doom,87,"['Adventure', 'Action']","['riddl', 'treasur', 'eleph', 'heart', 'crocodil', 'bridg', 'skeleton', 'treasure hunt', 'mysteri', 'tortur', 'india', 'violenc', 'monkey', 'archaeologist', 'child driving car', 'rope bridg', 'split', 'archeolog', '1930']"
Dirty Dancing,88,"['Drama', 'Music', 'Romance']","['danc', 'sibling relationship', 'hotel', 'robberi', 'dancing mast', 'dance perform', 'daughter', 'summer camp', 'secret lov', 'coming of ag', 'teenage crush', 'doctor', 'class differ', 'family holiday', 'sensual', 'unwanted pregn', 'summer rom', 'abort']"
Indiana Jones and the Last Crusade,89,"['Adventure', 'Action']","['germani', 'saving the world', 'venice, itali', 'holy grail', 'librari', 'riddl', 'parent child relationship', 'whip', 'treasur', 'nazi', 'entrap', 'crusad', 'father', 'treasure hunt', 'escap', 'tank', 'order of the templar', 'desert', 'archaeologist', 'indiana jon', 'archeolog', '1930', 'father son relationship']"
Beverly Hills Cop,90,"['Action', 'Comedy', 'Crime']","['california', 'showdown', 'undercov', 'strip club', 'investig', 'weapon', 'polic', 'smuggl', 'swimming pool', 'gunfight', 'mansion', 'los angeles, california', 'foot chas', 'art galleri', 'detroit, michigan', 'warehous', 'beverly hil', 'buddy cop', 'buddy comedi']"
Anatomy of a Murder,93,"['Crime', 'Drama', 'Mystery', 'Thriller']","['rape', 'adulteri', 'based on novel or book', 'jealousi', 'judg', 'hays cod', 'jazz', 'juror', 'court cas', 'lawyer', 'trial', 'courtroom', 'murder tri', 'courtroom drama']"
Armageddon,95,"['Action', 'Thriller', 'Science Fiction', 'Adventure']","['saving the world', 'paris, fr', 'moon', 'washington d.c.', 'loss of loved on', 'cataclysm', 'asteroid', 'self sacrific', 'nasa', 'space marin', 'u.s. air forc', 'race against tim', 'natural disast', 'daughter', 'space', 'end of the world', 'disast', 'wed', 'astronaut', 'duringcreditssting', 'disaster movi', 'heroic miss', 'space centr', 'daring rescu', 'disaster film']"
Beverly Hills Cop II,96,"['Action', 'Comedy', 'Crime']","['arms smuggl', 'detect', 'intensive car', 'undercov', 'strip club', 'investig', 'polic', 'swimming pool', 'sequel', 'shootout', 'gunfight', 'los angeles, california', 'explos', 'violenc', 'detroit, michigan', 'beverly hil', 'buddy cop', 'playboy mans', 'shooting rang', 'superdetect']"
Tron,97,"['Science Fiction', 'Action', 'Adventure']","['video gam', 'hacker', 'simul', 'super comput', 'utopia', 'virtual r', 'dystopia', 'computer simul', 'computer anim', 'computer-generated imageri', '1980', 'arcade gam', 'light cycl']"
Gladiator,98,"['Action', 'Drama', 'Adventure']","['rome, itali', 'parent child relationship', 'gladiat', 'arena', 'senat', 'roman empir', 'emperor', 'slaveri', 'ancient rom', 'battlefield', 'slave auct', 'historical fict', 'ancient world', 'combat', 'philosoph', 'barbarian hord', '2nd centuri', 'commodu', 'maximu']"
"Lock, Stock and Two Smoking Barrels",100,"['Comedy', 'Crime']","['ambush', 'alcohol', 'shotgun', 'rifl', 'marijuana', 'pot smok', 'antiqu', 'anger', 'cult film', 'carjack', 'piano', 'high stak']"
Léon: The Professional,101,"['Crime', 'Drama', 'Action']","['new york c', 'corrupt', 'loss of loved on', 'assassin', 'police brut', 'immigr', 'hitman', 'train', 'reveng', 'murder', 'loneli', 'neighbor', 'tragic lov', 'cult film', 'neo-noir']"
Taxi Driver,103,"['Crime', 'Drama']","['new york c', 'vietnam veteran', 'taxi', 'pornographi', 'obsess', 'pimp', 'taxi driv', 'drug deal', 'politician', 'firearm', 'vigilant', 'junk food', 'alien', 'misanthrophi', 'violenc', 'illegal prostitut', 'neo-noir', 'child prostitut']"
Back to the Future,105,"['Adventure', 'Comedy', 'Science Fiction', 'Family']","['clock tow', 'flying car', 'car rac', 'terrorist', 'lightn', 'guitar', 'sports car', 'inventor', 'journey in the past', 'invent', 'time travel', 'race against tim', 'bulli', 'partner', 'misfit', 'mad scientist', 'fish out of wat', 'teenage lov', 'destini', 'hidden ident', 'odd coupl', 'escapad', 'disord', 'chases and rac', 'love and rom', 'teenage lif', 'misfit partn', 'changing the past or futur', 'getting hom', '1950', 'profan']"
Predator,106,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['predat', 'alien', 'stalk', 'surviv', 'guerrilla warfar', 'trap', 'alien invas', 'invis', 'commando']"
Snatch,107,"['Crime', 'Comedy']","['england', 'gypsi', 'gambl', 'bare knuckle box', 'robberi', 'trailer park', 'boxer', 'gangster', 'pig', 'violenc', 'underground fight', 'cult film']"
Scarface,111,"['Action', 'Crime', 'Drama', 'Thriller']","['sibling relationship', 'miami, florida', 'corrupt', 'loss of loved on', 'cuba', 'prohibition era', 'cocain', 'gangster', 'rise and fal', 'remak', 'mafia', 'violenc', 'drug lord', 'bitter', 'rise to pow', 'cuban refuge']"
Pretty Woman,114,"['Romance', 'Comedy']","['prostitut', 'capit', 'hotel', 'expensive restaur', 'sports car', 'workahol', 'fire escap', 'friendship', 'los angeles, california', 'beverly hil', 'piano']"
The Big Lebowski,115,"['Comedy', 'Crime']","['bowl', 'vietnam veteran', 'nihil', 'heart attack', 'kidnap', 'lsd', 'marijuana', 'los angeles, california', 'millionair', 'cult film', 'cowboy', 'ash', 'impregn', 'unemploy', 'bowling bal', 'neo-noir']"
Match Point,116,"['Drama', 'Thriller', 'Crime', 'Romance']","['love triangl', 'london, england', 'upper class', 'adulteri', 'tenni', 'river tham', 'sport', 'love', 'wealth', 'lust', 'gold digg', 'social climb']"
The Untouchables,117,"['Crime', 'Drama', 'History', 'Thriller']","['chicago, illinoi', 'prohibition era', 'gangster', 'baseball bat', 'al capon', 'treasury ag', 'untouch', 'tax evas', 'jury tamp', '1930']"
Charlie and the Chocolate Factory,118,"['Adventure', 'Comedy', 'Family', 'Fantasy']","['london, england', 'chocol', 'factory work', 'based on novel or book', 'parent child relationship', 'candi', 'overweight child', 'grandparent grandchild relationship', 'teacher']"
The Lord of the Rings: The Fellowship of the Ring,120,"['Adventure', 'Fantasy', 'Action']","['elv', 'dwarf', 'orc', 'hobbit', 'loss of loved on', 'based on novel or book', 'river', 'mountain', 'mine', 'firework', 'castl', 'volcano', 'birthday parti', 'uncl', 'addict', 'fugit', 'battl', 'violenc', 'death', 'blizzard', 'wizard', 'journey', 'ring', 'live action and anim', 'sword and sorceri', 'middle-earth']"
The Lord of the Rings: The Two Towers,121,"['Adventure', 'Fantasy', 'Action']","['elv', 'dwarf', 'orc', 'hobbit', 'based on novel or book', 'explos', 'cave', 'funer', 'sieg', 'armi', 'addict', 'mission', 'attack', 'dragon', 'violenc', 'guid', 'death', 'split person', 'wizard', 'ring', 'live action and anim', 'sword and sorceri', 'middle-earth']"
The Lord of the Rings: The Return of the King,122,"['Adventure', 'Fantasy', 'Action']","['elv', 'dwarf', 'orc', 'hobbit', 'based on novel or book', 'suspicion', 'volcano', 'braveri', 'addict', 'honor', 'royalti', 'brutal', 'violenc', 'ghost', 'wizard', 'live action and anim', 'sword and sorceri', 'middle-earth']"
The Lord of the Rings,123,"['Adventure', 'Animation', 'Fantasy']","['elv', 'dwarf', 'hobbit', 'based on novel or book', 'mission', 'the lord of the r', 'middle-earth']"
"O Brother, Where Art Thou?",134,"['Adventure', 'Comedy', 'Crime']","['propheci', 'southern usa', 'music record', 'country mus', 'mississippi riv', 'seduct', 'fraud']"
Groundhog Day,137,"['Romance', 'Fantasy', 'Drama', 'Comedy']","['deja vu', 'telecast', 'pennsylvania, usa', 'winter', 'cult film', 'magic r', 'existenti']"
Dracula,138,"['Horror', 'Drama', 'Fantasy']","['based on novel or book', 'monster', 'castl', 'vampir', 'spider', 'bat', 'based on play or mus', 'undead', 'black and whit', 'pre-cod', 'lunat', 'dracula']"
